raw_rate_thr,margin_thr,d_attack_thr,seed,role,role_type,is_report_only,n,raw_alarm_rate,hard_alarm_rate,review_rate,suppress_rate,high_ood_risk_rate,attack_margin_p50,ood_risk_p50,past_source_raw_alarm_rate_w32_p50,past_source_raw_alarm_rate_w32_p95
0.1,0.6806708808041746,1.25,42,ood_stress_val,dev_benign_ood,False,2850,0.2982456140350877,0.02526315789473684,0.0,0.2729824561403509,0.2982456140350877,-0.06900562631119686,0.9935831736129246,0.0,0.9375
0.1,0.6806708808041746,1.25,42,ood_val,dev_benign_ood,False,1500,0.8273333333333334,0.25933333333333336,0.0,0.568,0.8273333333333334,0.0993717782569513,0.9937660106519236,0.84375,1.0
0.1,0.6806708808041746,1.25,42,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,0.9995,0.806,0.0,0.1935,0.26025,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,42,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.746996996996997,0.0,0.253003003003003,0.3506006006006006,0.6791579688624176,0.01658390862771209,1.0,1.0
0.1,0.6806708808041746,1.25,42,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,0.7755255255255256,0.0,0.22447447447447447,0.29429429429429427,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,42,sealed_heavy_future_near,report_only_attack,True,1336,0.9985029940119761,0.8922155688622755,0.0,0.1062874251497006,0.13622754491017963,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,42,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,0.992,0.992,0.0,0.0,0.025777777777777778,0.8646197031332155,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,42,support_val,dev_attack,False,64,0.984375,0.984375,0.0,0.0,0.1875,0.7559101097144891,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,43,dev_future_far,dev_attack,False,339,0.9970501474926253,0.9970501474926253,0.0,0.0,0.029498525073746312,0.7537414307770546,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,43,dev_future_mid,dev_attack,False,339,1.0,1.0,0.0,0.0,0.0,0.8171889445805136,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,43,dev_future_near,dev_attack,False,346,1.0,1.0,0.0,0.0,0.023121387283236993,0.7337000377044739,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,43,final_ood_report_only,report_only_benign_ood,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.26966666666666667,-0.06502451819157042,0.9917063341149046,0.0,0.75
0.1,0.6806708808041746,1.25,43,id_calib,dev_benign_ood,False,600,0.01,0.0,0.0,0.01,0.01,-0.06664158245825308,0.9935831736129246,0.0,0.08371212121212086
0.1,0.6806708808041746,1.25,43,ood_stress_val,dev_benign_ood,False,2850,0.2982456140350877,0.02526315789473684,0.0,0.2729824561403509,0.2982456140350877,-0.06900562631119686,0.9935831736129246,0.0,0.9375
0.1,0.6806708808041746,1.25,43,ood_val,dev_benign_ood,False,1500,0.8273333333333334,0.25933333333333336,0.0,0.568,0.8273333333333334,0.0993717782569513,0.9937660106519236,0.84375,1.0
0.1,0.6806708808041746,1.25,43,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,0.9995,0.806,0.0,0.1935,0.26025,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,43,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.746996996996997,0.0,0.253003003003003,0.3506006006006006,0.6791579688624176,0.01658390862771209,1.0,1.0
0.1,0.6806708808041746,1.25,43,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,0.7755255255255256,0.0,0.22447447447447447,0.29429429429429427,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,43,sealed_heavy_future_near,report_only_attack,True,1336,0.9985029940119761,0.8922155688622755,0.0,0.1062874251497006,0.13622754491017963,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,43,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,0.992,0.992,0.0,0.0,0.025777777777777778,0.8646197031332155,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,43,support_val,dev_attack,False,64,0.984375,0.984375,0.0,0.0,0.1875,0.7559101097144891,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,44,dev_future_far,dev_attack,False,339,0.9970501474926253,0.9970501474926253,0.0,0.0,0.029498525073746312,0.7537414307770546,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,44,dev_future_mid,dev_attack,False,339,1.0,1.0,0.0,0.0,0.0,0.8171889445805136,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,44,dev_future_near,dev_attack,False,346,1.0,1.0,0.0,0.0,0.023121387283236993,0.7337000377044739,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,44,final_ood_report_only,report_only_benign_ood,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.26966666666666667,-0.06502451819157042,0.9917063341149046,0.0,0.75
0.1,0.6806708808041746,1.25,44,id_calib,dev_benign_ood,False,600,0.01,0.0,0.0,0.01,0.01,-0.06664158245825308,0.9935831736129246,0.0,0.08371212121212086
0.1,0.6806708808041746,1.25,44,ood_stress_val,dev_benign_ood,False,2850,0.2982456140350877,0.02526315789473684,0.0,0.2729824561403509,0.2982456140350877,-0.06900562631119686,0.9935831736129246,0.0,0.9375
0.1,0.6806708808041746,1.25,44,ood_val,dev_benign_ood,False,1500,0.8273333333333334,0.25933333333333336,0.0,0.568,0.8273333333333334,0.0993717782569513,0.9937660106519236,0.84375,1.0
0.1,0.6806708808041746,1.25,44,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,0.9995,0.806,0.0,0.1935,0.26025,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,44,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.746996996996997,0.0,0.253003003003003,0.3506006006006006,0.6791579688624176,0.01658390862771209,1.0,1.0
0.1,0.6806708808041746,1.25,44,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,0.7755255255255256,0.0,0.22447447447447447,0.29429429429429427,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,44,sealed_heavy_future_near,report_only_attack,True,1336,0.9985029940119761,0.8922155688622755,0.0,0.1062874251497006,0.13622754491017963,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,44,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,0.992,0.992,0.0,0.0,0.025777777777777778,0.8646197031332155,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,44,support_val,dev_attack,False,64,0.984375,0.984375,0.0,0.0,0.1875,0.7559101097144891,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,45,dev_future_far,dev_attack,False,339,0.9970501474926253,0.9970501474926253,0.0,0.0,0.029498525073746312,0.7537414307770546,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,45,dev_future_mid,dev_attack,False,339,1.0,1.0,0.0,0.0,0.0,0.8171889445805136,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,45,dev_future_near,dev_attack,False,346,1.0,1.0,0.0,0.0,0.023121387283236993,0.7337000377044739,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,45,final_ood_report_only,report_only_benign_ood,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.26966666666666667,-0.06502451819157042,0.9917063341149046,0.0,0.75
0.1,0.6806708808041746,1.25,45,id_calib,dev_benign_ood,False,600,0.01,0.0,0.0,0.01,0.01,-0.06664158245825308,0.9935831736129246,0.0,0.08371212121212086
0.1,0.6806708808041746,1.25,45,ood_stress_val,dev_benign_ood,False,2850,0.2982456140350877,0.02526315789473684,0.0,0.2729824561403509,0.2982456140350877,-0.06900562631119686,0.9935831736129246,0.0,0.9375
0.1,0.6806708808041746,1.25,45,ood_val,dev_benign_ood,False,1500,0.8273333333333334,0.25933333333333336,0.0,0.568,0.8273333333333334,0.0993717782569513,0.9937660106519236,0.84375,1.0
0.1,0.6806708808041746,1.25,45,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,0.9995,0.806,0.0,0.1935,0.26025,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,45,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.746996996996997,0.0,0.253003003003003,0.3506006006006006,0.6791579688624176,0.01658390862771209,1.0,1.0
0.1,0.6806708808041746,1.25,45,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,0.7755255255255256,0.0,0.22447447447447447,0.29429429429429427,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,45,sealed_heavy_future_near,report_only_attack,True,1336,0.9985029940119761,0.8922155688622755,0.0,0.1062874251497006,0.13622754491017963,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,45,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,0.992,0.992,0.0,0.0,0.025777777777777778,0.8646197031332155,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,45,support_val,dev_attack,False,64,0.984375,0.984375,0.0,0.0,0.1875,0.7559101097144891,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,46,dev_future_far,dev_attack,False,339,0.9970501474926253,0.9970501474926253,0.0,0.0,0.029498525073746312,0.7537414307770546,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,46,dev_future_mid,dev_attack,False,339,1.0,1.0,0.0,0.0,0.0,0.8171889445805136,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,46,dev_future_near,dev_attack,False,346,1.0,1.0,0.0,0.0,0.023121387283236993,0.7337000377044739,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,46,final_ood_report_only,report_only_benign_ood,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.26966666666666667,-0.06502451819157042,0.9917063341149046,0.0,0.75
0.1,0.6806708808041746,1.25,46,id_calib,dev_benign_ood,False,600,0.01,0.0,0.0,0.01,0.01,-0.06664158245825308,0.9935831736129246,0.0,0.08371212121212086
0.1,0.6806708808041746,1.25,46,ood_stress_val,dev_benign_ood,False,2850,0.2982456140350877,0.02526315789473684,0.0,0.2729824561403509,0.2982456140350877,-0.06900562631119686,0.9935831736129246,0.0,0.9375
0.1,0.6806708808041746,1.25,46,ood_val,dev_benign_ood,False,1500,0.8273333333333334,0.25933333333333336,0.0,0.568,0.8273333333333334,0.0993717782569513,0.9937660106519236,0.84375,1.0
0.1,0.6806708808041746,1.25,46,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,0.9995,0.806,0.0,0.1935,0.26025,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,46,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.746996996996997,0.0,0.253003003003003,0.3506006006006006,0.6791579688624176,0.01658390862771209,1.0,1.0
0.1,0.6806708808041746,1.25,46,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,0.7755255255255256,0.0,0.22447447447447447,0.29429429429429427,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,46,sealed_heavy_future_near,report_only_attack,True,1336,0.9985029940119761,0.8922155688622755,0.0,0.1062874251497006,0.13622754491017963,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,46,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,0.992,0.992,0.0,0.0,0.025777777777777778,0.8646197031332155,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.25,46,support_val,dev_attack,False,64,0.984375,0.984375,0.0,0.0,0.1875,0.7559101097144891,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,42,dev_future_far,dev_attack,False,339,0.9970501474926253,0.9970501474926253,0.0,0.0,0.029498525073746312,0.7537414307770546,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,42,dev_future_mid,dev_attack,False,339,1.0,1.0,0.0,0.0,0.0,0.8171889445805136,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,42,dev_future_near,dev_attack,False,346,1.0,1.0,0.0,0.0,0.023121387283236993,0.7337000377044739,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,42,final_ood_report_only,report_only_benign_ood,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.26966666666666667,-0.06502451819157042,0.9917063341149046,0.0,0.75
0.1,0.6806708808041746,1.5,42,id_calib,dev_benign_ood,False,600,0.01,0.0,0.0,0.01,0.01,-0.06664158245825308,0.9935831736129246,0.0,0.08371212121212086
0.1,0.6806708808041746,1.5,42,ood_stress_val,dev_benign_ood,False,2850,0.2982456140350877,0.02526315789473684,0.0,0.2729824561403509,0.2982456140350877,-0.06900562631119686,0.9935831736129246,0.0,0.9375
0.1,0.6806708808041746,1.5,42,ood_val,dev_benign_ood,False,1500,0.8273333333333334,0.25933333333333336,0.0,0.568,0.8273333333333334,0.0993717782569513,0.9937660106519236,0.84375,1.0
0.1,0.6806708808041746,1.5,42,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,0.9995,0.8145,0.0,0.185,0.26025,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,42,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.7492492492492493,0.0,0.25075075075075076,0.3506006006006006,0.6791579688624176,0.01658390862771209,1.0,1.0
0.1,0.6806708808041746,1.5,42,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,0.7815315315315315,0.0,0.21846846846846846,0.29429429429429427,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,42,sealed_heavy_future_near,report_only_attack,True,1336,0.9985029940119761,0.905688622754491,0.0,0.09281437125748503,0.13622754491017963,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,42,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,0.992,0.992,0.0,0.0,0.025777777777777778,0.8646197031332155,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,42,support_val,dev_attack,False,64,0.984375,0.984375,0.0,0.0,0.1875,0.7559101097144891,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,43,dev_future_far,dev_attack,False,339,0.9970501474926253,0.9970501474926253,0.0,0.0,0.029498525073746312,0.7537414307770546,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,43,dev_future_mid,dev_attack,False,339,1.0,1.0,0.0,0.0,0.0,0.8171889445805136,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,43,dev_future_near,dev_attack,False,346,1.0,1.0,0.0,0.0,0.023121387283236993,0.7337000377044739,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,43,final_ood_report_only,report_only_benign_ood,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.26966666666666667,-0.06502451819157042,0.9917063341149046,0.0,0.75
0.1,0.6806708808041746,1.5,43,id_calib,dev_benign_ood,False,600,0.01,0.0,0.0,0.01,0.01,-0.06664158245825308,0.9935831736129246,0.0,0.08371212121212086
0.1,0.6806708808041746,1.5,43,ood_stress_val,dev_benign_ood,False,2850,0.2982456140350877,0.02526315789473684,0.0,0.2729824561403509,0.2982456140350877,-0.06900562631119686,0.9935831736129246,0.0,0.9375
0.1,0.6806708808041746,1.5,43,ood_val,dev_benign_ood,False,1500,0.8273333333333334,0.25933333333333336,0.0,0.568,0.8273333333333334,0.0993717782569513,0.9937660106519236,0.84375,1.0
0.1,0.6806708808041746,1.5,43,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,0.9995,0.8145,0.0,0.185,0.26025,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,43,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.7492492492492493,0.0,0.25075075075075076,0.3506006006006006,0.6791579688624176,0.01658390862771209,1.0,1.0
0.1,0.6806708808041746,1.5,43,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,0.7815315315315315,0.0,0.21846846846846846,0.29429429429429427,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,43,sealed_heavy_future_near,report_only_attack,True,1336,0.9985029940119761,0.905688622754491,0.0,0.09281437125748503,0.13622754491017963,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,43,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,0.992,0.992,0.0,0.0,0.025777777777777778,0.8646197031332155,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,43,support_val,dev_attack,False,64,0.984375,0.984375,0.0,0.0,0.1875,0.7559101097144891,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,44,dev_future_far,dev_attack,False,339,0.9970501474926253,0.9970501474926253,0.0,0.0,0.029498525073746312,0.7537414307770546,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,44,dev_future_mid,dev_attack,False,339,1.0,1.0,0.0,0.0,0.0,0.8171889445805136,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,44,dev_future_near,dev_attack,False,346,1.0,1.0,0.0,0.0,0.023121387283236993,0.7337000377044739,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,44,final_ood_report_only,report_only_benign_ood,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.26966666666666667,-0.06502451819157042,0.9917063341149046,0.0,0.75
0.1,0.6806708808041746,1.5,44,id_calib,dev_benign_ood,False,600,0.01,0.0,0.0,0.01,0.01,-0.06664158245825308,0.9935831736129246,0.0,0.08371212121212086
0.1,0.6806708808041746,1.5,44,ood_stress_val,dev_benign_ood,False,2850,0.2982456140350877,0.02526315789473684,0.0,0.2729824561403509,0.2982456140350877,-0.06900562631119686,0.9935831736129246,0.0,0.9375
0.1,0.6806708808041746,1.5,44,ood_val,dev_benign_ood,False,1500,0.8273333333333334,0.25933333333333336,0.0,0.568,0.8273333333333334,0.0993717782569513,0.9937660106519236,0.84375,1.0
0.1,0.6806708808041746,1.5,44,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,0.9995,0.8145,0.0,0.185,0.26025,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,44,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.7492492492492493,0.0,0.25075075075075076,0.3506006006006006,0.6791579688624176,0.01658390862771209,1.0,1.0
0.1,0.6806708808041746,1.5,44,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,0.7815315315315315,0.0,0.21846846846846846,0.29429429429429427,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,44,sealed_heavy_future_near,report_only_attack,True,1336,0.9985029940119761,0.905688622754491,0.0,0.09281437125748503,0.13622754491017963,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,44,sealed_medium_attack_eval_report_only,report_only_attack,True,2250,0.992,0.992,0.0,0.0,0.025777777777777778,0.8646197031332155,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,44,support_val,dev_attack,False,64,0.984375,0.984375,0.0,0.0,0.1875,0.7559101097144891,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,45,dev_future_far,dev_attack,False,339,0.9970501474926253,0.9970501474926253,0.0,0.0,0.029498525073746312,0.7537414307770546,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,45,dev_future_mid,dev_attack,False,339,1.0,1.0,0.0,0.0,0.0,0.8171889445805136,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,45,dev_future_near,dev_attack,False,346,1.0,1.0,0.0,0.0,0.023121387283236993,0.7337000377044739,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,45,final_ood_report_only,report_only_benign_ood,True,3000,0.26966666666666667,0.0,0.0,0.26966666666666667,0.26966666666666667,-0.06502451819157042,0.9917063341149046,0.0,0.75
0.1,0.6806708808041746,1.5,45,id_calib,dev_benign_ood,False,600,0.01,0.0,0.0,0.01,0.01,-0.06664158245825308,0.9935831736129246,0.0,0.08371212121212086
0.1,0.6806708808041746,1.5,45,ood_stress_val,dev_benign_ood,False,2850,0.2982456140350877,0.02526315789473684,0.0,0.2729824561403509,0.2982456140350877,-0.06900562631119686,0.9935831736129246,0.0,0.9375
0.1,0.6806708808041746,1.5,45,ood_val,dev_benign_ood,False,1500,0.8273333333333334,0.25933333333333336,0.0,0.568,0.8273333333333334,0.0993717782569513,0.9937660106519236,0.84375,1.0
0.1,0.6806708808041746,1.5,45,sealed_dev_heavy_query_report_only,report_only_attack,True,4000,0.9995,0.8145,0.0,0.185,0.26025,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,45,sealed_heavy_future_far,report_only_attack,True,1332,1.0,0.7492492492492493,0.0,0.25075075075075076,0.3506006006006006,0.6791579688624176,0.01658390862771209,1.0,1.0
0.1,0.6806708808041746,1.5,45,sealed_heavy_future_mid,report_only_attack,True,1332,1.0,0.7815315315315315,0.0,0.21846846846846846,0.29429429429429427,0.6834873955984657,0.011719728842509288,1.0,1.0
0.1,0.6806708808041746,1.5,45,sealed_heavy_future_near,report_only_attack,True,1336,0.9985029940119761,0.905688622754491,0.0,0.09281437125748503,0.13622754491017963,0.6834873955984657,0.011719728842509288,1.0,1.0
